"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"1","VBAT","Power","","","","","","","","","","","","","","","","","",""
"2","PC13","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"3","PC14-OSC32_IN (PC14)","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"4","PC15-OSC32_OUT (PC15)","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"5","PH0-OSC_IN (PH0)","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"6","PH1-OSC_OUT (PH1)","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"7","NRST","Reset","","","","","","","","","","","","","","","","","",""
"8","PC0","I/O","","","","LPTIM1_IN1","","","I2C3_SCL","","","","LPUART1_RX","","","LCD_SEG18","","","LPTIM2_IN1","EVENTOUT"
"9","PC1","I/O","","","","LPTIM1_OUT","","","I2C3_SDA","","","","LPUART1_TX","","","LCD_SEG19","","","","EVENTOUT"
"10","PC2","I/O","","","","LPTIM1_IN2","","","","SPI2_MISO","","","","","","LCD_SEG20","","","","EVENTOUT"
"11","PC3","I/O","","","","LPTIM1_ETR","","","","SPI2_MOSI","","","","","","LCD_VLCD","","SAI1_SD_A","LPTIM2_ETR","EVENTOUT"
"12","VSSA/VREF-","Power","","","","","","","","","","","","","","","","","",""
"13","VDDA/VREF+","Power","","","","","","","","","","","","","","","","","",""
"14","PA0","I/O","","","","TIM2_CH1","","","","","","USART2_CTS","","","","","COMP1_OUT","SAI1_EXTCLK","TIM2_ETR","EVENTOUT"
"15","PA1","I/O","","","","TIM2_CH2","","","I2C1_SMBA","SPI1_SCK","","USART2_DE/USART2_RTS","","","","LCD_SEG0","","","TIM15_CH1N","EVENTOUT"
"16","PA2","I/O","","","","TIM2_CH3","","","","","","USART2_TX","LPUART1_TX","","QUADSPI_BK1_NCS","LCD_SEG1","COMP2_OUT","","TIM15_CH1","EVENTOUT"
"17","PA3","I/O","","","","TIM2_CH4","","","","","","USART2_RX","LPUART1_RX","","QUADSPI_CLK","LCD_SEG2","","SAI1_MCLK_A","TIM15_CH2","EVENTOUT"
"18","VSS","Power","","","","","","","","","","","","","","","","","",""
"19","VDD","Power","","","","","","","","","","","","","","","","","",""
"20","PA4","I/O","","","","","","","","SPI1_NSS","SPI3_NSS","USART2_CK","","","","","","SAI1_FS_B","LPTIM2_OUT","EVENTOUT"
"21","PA5","I/O","","","","TIM2_CH1","TIM2_ETR","","","SPI1_SCK","","","","","","","","","LPTIM2_ETR","EVENTOUT"
"22","PA6","I/O","","","","TIM1_BKIN","","","","SPI1_MISO","COMP1_OUT","USART3_CTS","LPUART1_CTS","","QUADSPI_BK1_IO3","LCD_SEG3","TIM1_BKIN_COMP2","","TIM16_CH1","EVENTOUT"
"23","PA7","I/O","","","","TIM1_CH1N","","","I2C3_SCL","SPI1_MOSI","","","","","QUADSPI_BK1_IO2","LCD_SEG4","COMP2_OUT","","","EVENTOUT"
"24","PC4","I/O","","","","","","","","","","USART3_TX","","","","LCD_SEG22","","","","EVENTOUT"
"25","PB0","I/O","","","","TIM1_CH2N","","","","SPI1_NSS","","USART3_CK","","","QUADSPI_BK1_IO1","LCD_SEG5","COMP1_OUT","SAI1_EXTCLK","","EVENTOUT"
"26","PB1","I/O","","","","TIM1_CH3N","","","","","","USART3_DE/USART3_RTS","LPUART1_DE/LPUART1_RTS","","QUADSPI_BK1_IO0","LCD_SEG6","","","LPTIM2_IN1","EVENTOUT"
"27","PB2","I/O","","","RTC_OUT_ALARM/RTC_OUT_CALIB","LPTIM1_OUT","","","I2C3_SMBA","","","","","","","LCD_VLCD","","","","EVENTOUT"
