"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"A1","PE3","I/O","","","SYS_TRACED0","EVENTOUT","","TSC_G7_IO2","","","","","","","","","","","",""
"A2","PE1","I/O","","","","EVENTOUT","","","","","","USART1_RX","","","","","","","",""
"A3","PB8","I/O","","","","TIM16_CH1","TIM4_CH3","TSC_SYNC","I2C1_SCL","I2S2_CK/SPI2_SCK","CEC","USART3_TX","COMP1_OUT","CAN_RX","","TIM19_CH3","","","","EVENTOUT"
"A4","BOOT0","Boot","","","","","","","","","","","","","","","","","",""
"A5","PD7","I/O","","","","EVENTOUT","","","","I2S2_CK/SPI2_SCK","","USART2_CK","","","","","","","",""
"A6","PD5","I/O","","","","EVENTOUT","","","","","","USART2_TX","","","","","","","",""
"A7","PB4","I/O","","","SYS_NJTRST","TIM16_CH1","TIM3_CH1","TSC_G5_IO2","","I2S1_MCK/SPI1_MISO","I2S3_MCK/SPI3_MISO","USART2_RX","","TIM15_CH1N","TIM17_BKIN","","","","","EVENTOUT"
"A8","PB3","I/O","","","SYS_JTDO-TRACESWO","TIM2_CH2","TIM4_ETR","TSC_G5_IO1","","I2S1_CK/SPI1_SCK","I2S3_CK/SPI3_SCK","USART2_TX","","TIM13_CH1","TIM3_ETR","","","","","EVENTOUT"
"A9","PA15","I/O","","","SYS_JTDI","TIM2_CH1/TIM2_ETR","","TSC_SYNC","I2C1_SCL","I2S1_WS/SPI1_NSS","I2S3_WS/SPI3_NSS","","","","TIM12_CH2","","","","","EVENTOUT"
"A10","PA14","I/O","","","SYS_JTCK-SWCLK","","","TSC_G4_IO4","I2C1_SDA","","","","","","TIM12_CH1","","","","","EVENTOUT"
"A11","PA13","I/O","","","SYS_JTMS-SWDIO","TIM16_CH1N","TIM5_CH4","TSC_G4_IO3","","IR_OUT","I2S1_MCK/SPI1_MISO","USART3_CTS","","","TIM4_CH3","","","","","EVENTOUT"
"A12","PA12","I/O","","","","TIM16_CH1","TIM5_CH3","","","","I2S1_CK/SPI1_SCK","USART1_DE/USART1_RTS","COMP2_OUT","CAN_TX","TIM4_CH2","","","","","EVENTOUT"
"B1","PE4","I/O","","","SYS_TRACED1","EVENTOUT","","TSC_G7_IO3","","","","","","","","","","","",""
"B2","PE2","I/O","","","SYS_TRACECK","EVENTOUT","","TSC_G7_IO1","","","","","","","","","","","",""
"B3","PB9","I/O","","","","TIM17_CH1","TIM4_CH4","","I2C1_SDA","I2S2_WS/SPI2_NSS","IR_OUT","USART3_RX","COMP2_OUT","CAN_TX","","TIM19_CH4","","","","EVENTOUT"
"B4","PB7","I/O","","","","TIM17_CH1N","TIM4_CH2","TSC_G5_IO4","I2C1_SDA","","","USART1_RX","","TIM15_CH2","TIM3_CH4","TIM19_CH2","","","","EVENTOUT"
"B5","PB6","I/O","","","","TIM16_CH1N","TIM4_CH1","TSC_G5_IO3","I2C1_SCL","","","USART1_TX","","TIM15_CH1","TIM3_CH3","TIM19_CH1","","","","EVENTOUT"
"B6","PD6","I/O","","","","EVENTOUT","","","","I2S2_WS/SPI2_NSS","","USART2_RX","","","","","","","",""
"B7","PD4","I/O","","","","EVENTOUT","","","","I2S2_SD/SPI2_MOSI","","USART2_DE/USART2_RTS","","","","","","","",""
"B8","PD3","I/O","","","","EVENTOUT","","","","I2S2_MCK/SPI2_MISO","","USART2_CTS","","","","","","","",""
"B9","PD1","I/O","","","","EVENTOUT","TIM19_ETR","","","","","CAN_TX","","","","","","","",""
"B10","PC12","I/O","","","","EVENTOUT","TIM19_CH3","","","","I2S3_SD/SPI3_MOSI","USART3_CK","","","","","","","",""
