"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10"
"1","VBAT","Power","","","","","","","","","","","","",""
"2","PC13-ANTI_TAMP","I/O","","","","","","","","","","","","",""
"3","PC14-OSC32_IN","I/O","","","","","","","","","","","","",""
"4","PC15-OSC32_OUT","I/O","","","","","","","","","","","","",""
"5","PH0 - OSC_IN","I/O","","","","","","","","","","","","",""
"6","PH1 - OSC_OUT","I/O","","","","","","","","","","","","",""
"7","NRST","Reset","","","","","","","","","","","","",""
"8","VSSA/VREF-","Power","","","","","","","","","","","","",""
"9","VREF+","Power","","","","","","","","","","","","",""
"10","PA0-WKUP","I/O","","","","TIM2_CH1/TIM2_ETR","TIM5_CH1","","","","","USART2_CTS","","",""
"11","PA1","I/O","","","","TIM2_CH2","TIM5_CH2","","","","","USART2_RTS","","",""
"12","PA2","I/O","","","","TIM2_CH3","TIM5_CH3","TIM9_CH1","","","","USART2_TX","","",""
"13","PA3","I/O","","","","TIM2_CH4","TIM5_CH4","TIM9_CH2","","","","USART2_RX","","",""
"14","PA4","I/O","","","","","","","","SPI1_NSS","I2S3_WS/SPI3_NSS","USART2_CK","","",""
"15","PA5","I/O","","","","TIM2_CH1/TIM2_ETR","","","","SPI1_SCK","","","","",""
"16","PA6","I/O","","","","TIM1_BKIN","TIM3_CH1","","","SPI1_MISO","","","","",""
"17","PA7","I/O","","","","TIM1_CH1N","TIM3_CH2","","","SPI1_MOSI","","","","",""
"18","PB0","I/O","","","","TIM1_CH2N","TIM3_CH3","","","","","","","",""
"19","PB1","I/O","","","","TIM1_CH3N","TIM3_CH4","","","","","","","",""
"20","PB2","I/O","","","","","","","","","","","","",""
"21","PB10","I/O","","","","TIM2_CH3","","","I2C2_SCL","I2S2_CK/SPI2_SCK","","","","",""
"22","VCAP1","Power","","","","","","","","","","","","",""
"23","VSS","Power","","","","","","","","","","","","",""
"24","VDD","Power","","","","","","","","","","","","",""
"25","PB12","I/O","","","","TIM1_BKIN","","","I2C2_SMBA","I2S2_WS/SPI2_NSS","","","","",""
"26","PB13","I/O","","","","TIM1_CH1N","","","","I2S2_CK/SPI2_SCK","","","","",""
"27","PB14","I/O","","","","TIM1_CH2N","","","","SPI2_MISO","I2S2_ext_SD","","","",""
"28","PB15","I/O","","","RTC_REFIN","TIM1_CH3N","","","","I2S2_SD/SPI2_MOSI","","","","",""
"29","PA8","I/O","","","RCC_MCO_1","TIM1_CH1","","","I2C3_SCL","","","USART1_CK","","","USB_OTG_FS_SOF"
"30","PA9","I/O","","","","TIM1_CH2","","","I2C3_SMBA","","","USART1_TX","","",""
"31","PA10","I/O","","","","TIM1_CH3","","","","","","USART1_RX","","","USB_OTG_FS_ID"
"32","PA11","I/O","","","","TIM1_CH4","","","","","","USART1_CTS","USART6_TX","","USB_OTG_FS_DM"
"33","PA12","I/O","","","","TIM1_ETR","","","","","","USART1_RTS","USART6_RX","","USB_OTG_FS_DP"
"34","PA13","I/O","","","SYS_JTMS-SWDIO","","","","","","","","","",""
"35","VSS","Power","","","","","","","","","","","","",""
"36","VDD","Power","","","","","","","","","","","","",""
"37","PA14","I/O","","","SYS_JTCK-SWCLK","","","","","","","","","",""
"38","PA15","I/O","","","SYS_JTDI","TIM2_CH1/TIM2_ETR","","","","SPI1_NSS","I2S3_WS/SPI3_NSS","","","",""
"39","PB3","I/O","","","SYS_JTDO-SWO","TIM2_CH2","","","","SPI1_SCK","I2S3_CK/SPI3_SCK","","","I2C2_SDA",""
"40","PB4","I/O","","","SYS_JTRST","","TIM3_CH1","","","SPI1_MISO","SPI3_MISO","I2S3_ext_SD","","I2C3_SDA",""
"41","PB5","I/O","","","","","TIM3_CH2","","I2C1_SMBA","SPI1_MOSI","I2S3_SD/SPI3_MOSI","","","",""
"42","PB6","I/O","","","","","TIM4_CH1","","I2C1_SCL","","","USART1_TX","","",""
"43","PB7","I/O","","","","","TIM4_CH2","","I2C1_SDA","","","USART1_RX","","",""
"44","BOOT0","Boot","","","","","","","","","","","","",""
"45","PB8","I/O","","","","","TIM4_CH3","TIM10_CH1","I2C1_SCL","","","","","",""
"46","PB9","I/O","","","","","TIM4_CH4","TIM11_CH1","I2C1_SDA","I2S2_WS/SPI2_NSS","","","","",""
"47","VSS","Power","","","","","","","","","","","","",""
"48","VDD","Power","","","","","","","","","","","","",""
