"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"1","VBAT","Power","","","","","","","","","","","","","","","","","",""
"2","PC13","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"3","PC14-OSC32_IN","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"4","PC15-OSC32_OUT","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"5","PH0 - OSC_IN","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"6","PH1 - OSC_OUT","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"7","NRST","Reset","","","","","","","","","","","","","","","","","",""
"8","VSSA","Power","","","","","","","","","","","","","","","","","",""
"9","VDDA","Power","","","","","","","","","","","","","","","","","",""
"10","PA0","I/O","","","","TIM2_CH1/TIM2_ETR","TIM5_CH1","TIM8_ETR","","","","USART2_CTS","","","","","","","","EVENTOUT"
"11","PA1","I/O","","","","TIM2_CH2","TIM5_CH2","","","I2S4_SD/SPI4_MOSI","","USART2_RTS","","","","","","","","EVENTOUT"
"12","PA2","I/O","","","","TIM2_CH3","TIM5_CH3","TIM9_CH1","","I2S_CKIN","","USART2_TX","","","","","","","","EVENTOUT"
"13","PA3","I/O","","","","TIM2_CH4","TIM5_CH4","TIM9_CH2","","I2S2_MCK","","USART2_RX","","","","","","","","EVENTOUT"
"14","PA4","I/O","","","","","","","","I2S1_WS/SPI1_NSS","I2S3_WS/SPI3_NSS","USART2_CK","DFSDM1_DATIN1","","","","","","","EVENTOUT"
"15","PA5","I/O","","","","TIM2_CH1/TIM2_ETR","","TIM8_CH1N","","I2S1_CK/SPI1_SCK","","","DFSDM1_CKIN1","","","","","","","EVENTOUT"
"16","PA6","I/O","","","","TIM1_BKIN","TIM3_CH1","TIM8_BKIN","","SPI1_MISO","I2S2_MCK","","","TIM13_CH1","","","SDIO_CMD","","","EVENTOUT"
"17","PA7","I/O","","","","TIM1_CH1N","TIM3_CH2","TIM8_CH1N","","I2S1_SD/SPI1_MOSI","","","","TIM14_CH1","","","","","","EVENTOUT"
"18","PB0","I/O","","","","TIM1_CH2N","TIM3_CH3","TIM8_CH2N","","","I2S5_CK/SPI5_SCK","","","","","","","","","EVENTOUT"
"19","PB1","I/O","","","","TIM1_CH3N","TIM3_CH4","TIM8_CH3N","","","I2S5_WS/SPI5_NSS","","DFSDM1_DATIN0","","","","","","","EVENTOUT"
"20","PB2","I/O","","","","","","","","","DFSDM1_CKIN0","","","","","","","","","EVENTOUT"
"21","PB10","I/O","","","","TIM2_CH3","","","I2C2_SCL","I2S2_CK/SPI2_SCK","I2S3_MCK","USART3_TX","","FMPI2C1_SCL","","","SDIO_D7","","","EVENTOUT"
"22","VCAP_1","Power","","","","","","","","","","","","","","","","","",""
"23","VSS","Power","","","","","","","","","","","","","","","","","",""
"24","VDD","Power","","","","","","","","","","","","","","","","","",""
"25","PB12","I/O","","","","TIM1_BKIN","","","I2C2_SMBA","I2S2_WS/SPI2_NSS","I2S4_WS/SPI4_NSS","I2S3_CK/SPI3_SCK","USART3_CK","CAN2_RX","DFSDM1_DATIN1","","","","","EVENTOUT"
"26","PB13","I/O","","","","TIM1_CH1N","","","FMPI2C1_SMBA","I2S2_CK/SPI2_SCK","I2S4_CK/SPI4_SCK","","","CAN2_TX","DFSDM1_CKIN1","","","","","EVENTOUT"
"27","PB14","I/O","","","","TIM1_CH2N","","TIM8_CH2N","FMPI2C1_SDA","SPI2_MISO","I2S2_ext_SD","","DFSDM1_DATIN2","TIM12_CH1","","","SDIO_D6","","","EVENTOUT"
"28","PB15","I/O","","","RTC_REFIN","TIM1_CH3N","","TIM8_CH3N","FMPI2C1_SCL","I2S2_SD/SPI2_MOSI","","","DFSDM1_CKIN2","TIM12_CH2","","","SDIO_CK","","","EVENTOUT"
