"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13"
"1","VBAT","Power","","","","","","","","","","","","","","","",""
"2","PC13","I/O","","","","","","","","","","","","","","","",""
"3","PC14-OSC32_IN","I/O","","","","","","","","","","","","","","","",""
"4","PC15-OSC32_OUT","I/O","","","","","","","","","","","","","","","",""
"5","PH0-OSC_IN","I/O","","","","","","","","","","","","","","","",""
"6","PH1-OSC_OUT","I/O","","","","","","","","","","","","","","","",""
"7","NRST","Reset","","","","","","","","","","","","","","","",""
"8","PC0","I/O","","","","","","","","","SAI1_MCLK_B","","","","USB_OTG_HS_ULPI_STP","","",""
"9","PC1","I/O","","","","","","","","I2S3_SD/SPI3_MOSI","SAI1_SD_A","I2S2_SD/SPI2_MOSI","","","","","",""
"10","PC2","I/O","","","","","","","","SPI2_MISO","","","","","USB_OTG_HS_ULPI_DIR","","",""
"11","PC3","I/O","","","","","","","","I2S2_SD/SPI2_MOSI","","","","","USB_OTG_HS_ULPI_NXT","","",""
"12","VSSA","Power","","","","","","","","","","","","","","","",""
"13","VDDA","Power","","","","","","","","","","","","","","","",""
"14","PA0-WKUP","I/O","","","","TIM2_CH1/TIM2_ETR","TIM5_CH1","TIM8_ETR","","","","USART2_CTS","UART4_TX","","","","",""
"15","PA1","I/O","","","","TIM2_CH2","TIM5_CH2","","","","","USART2_RTS","UART4_RX","QUADSPI_BK1_IO3","","","",""
"16","PA2","I/O","","","","TIM2_CH3","TIM5_CH3","TIM9_CH1","","","","USART2_TX","","","","","",""
"17","PA3","I/O","","","","TIM2_CH4","TIM5_CH4","TIM9_CH2","","","SAI1_FS_A","USART2_RX","","","USB_OTG_HS_ULPI_D0","","",""
"18","VSS","Power","","","","","","","","","","","","","","","",""
"19","VDD","Power","","","","","","","","","","","","","","","",""
"20","PA4","I/O","","","","","","","","I2S1_WS/SPI1_NSS","I2S3_WS/SPI3_NSS","USART2_CK","","","","","USB_OTG_HS_SOF","DCMI_HSYNC"
"21","PA5","I/O","","","","TIM2_CH1/TIM2_ETR","","TIM8_CH1N","","I2S1_CK/SPI1_SCK","","","","","USB_OTG_HS_ULPI_CK","","",""
"22","PA6","I/O","","","","TIM1_BKIN","TIM3_CH1","TIM8_BKIN","","SPI1_MISO","I2S2_MCK","","","TIM13_CH1","","","","DCMI_PIXCLK"
"23","PA7","I/O","","","","TIM1_CH1N","TIM3_CH2","TIM8_CH1N","","I2S1_SD/SPI1_MOSI","","","","TIM14_CH1","","","",""
"24","PC4","I/O","","","","","","","","I2S1_MCK","","","SPDIFRX_IN2","","","","",""
"25","PC5","I/O","","","","","","","","","","USART3_RX","SPDIFRX_IN3","","","","",""
"26","PB0","I/O","","","","TIM1_CH2N","TIM3_CH3","TIM8_CH2N","","","","I2S3_SD/SPI3_MOSI","UART4_CTS","","USB_OTG_HS_ULPI_D1","","SDIO_D1",""
"27","PB1","I/O","","","","TIM1_CH3N","TIM3_CH4","TIM8_CH3N","","","","","","","USB_OTG_HS_ULPI_D2","","SDIO_D2",""
"28","PB2","I/O","","","","TIM2_CH4","","","","","SAI1_SD_A","I2S3_SD/SPI3_MOSI","","QUADSPI_CLK","USB_OTG_HS_ULPI_D4","","SDIO_CK",""
"29","PB10","I/O","","","","TIM2_CH3","","","I2C2_SCL","I2S2_CK/SPI2_SCK","SAI1_SCK_A","USART3_TX","","","USB_OTG_HS_ULPI_D3","","",""
"30","VCAP_1","Power","","","","","","","","","","","","","","","",""
"31","VSS","Power","","","","","","","","","","","","","","","",""
"32","VDD","Power","","","","","","","","","","","","","","","",""
"33","PB12","I/O","","","","TIM1_BKIN","","","I2C2_SMBA","I2S2_WS/SPI2_NSS","SAI1_SCK_B","USART3_CK","","CAN2_RX","USB_OTG_HS_ULPI_D5","","USB_OTG_HS_ID",""
"34","PB13","I/O","","","","TIM1_CH1N","","","","I2S2_CK/SPI2_SCK","","USART3_CTS","","CAN2_TX","USB_OTG_HS_ULPI_D6","","",""
"35","PB14","I/O","","","","TIM1_CH2N","","TIM8_CH2N","","SPI2_MISO","","USART3_RTS","","TIM12_CH1","","","USB_OTG_HS_DM",""
"36","PB15","I/O","","","RTC_REFIN","TIM1_CH3N","","TIM8_CH3N","","I2S2_SD/SPI2_MOSI","","","","TIM12_CH2","","","USB_OTG_HS_DP",""
"37","PC6","I/O","","","","","TIM3_CH1","TIM8_CH1","FMPI2C1_SCL","I2S2_MCK","","","USART6_TX","","","","SDIO_D6","DCMI_D0"
"38","PC7","I/O","","","","","TIM3_CH2","TIM8_CH2","FMPI2C1_SDA","I2S2_CK/SPI2_SCK","I2S3_MCK","SPDIFRX_IN1","USART6_RX","","","","SDIO_D7","DCMI_D1"
"39","PC8","I/O","","","SYS_TRACED0","","TIM3_CH3","TIM8_CH3","","","","UART5_RTS","USART6_CK","","","","SDIO_D0","DCMI_D2"
"40","PC9","I/O","","","RCC_MCO_2","","TIM3_CH4","TIM8_CH4","I2C3_SDA","I2S_CKIN","","UART5_CTS","","QUADSPI_BK1_IO0","","","SDIO_D1","DCMI_D3"
"41","PA8","I/O","","","RCC_MCO_1","TIM1_CH1","","","I2C3_SCL","","","USART1_CK","","","USB_OTG_FS_SOF","","",""
"42","PA9","I/O","","","","TIM1_CH2","","","I2C3_SMBA","I2S2_CK/SPI2_SCK","SAI1_SD_B","USART1_TX","","","","","","DCMI_D0"
"43","PA10","I/O","","","","TIM1_CH3","","","","","","USART1_RX","","","USB_OTG_FS_ID","","","DCMI_D1"
"44","PA11","I/O","","","","TIM1_CH4","","","","","","USART1_CTS","","CAN1_RX","USB_OTG_FS_DM","","",""
"45","PA12","I/O","","","","TIM1_ETR","","","","","","USART1_RTS","","CAN1_TX","USB_OTG_FS_DP","","",""
"46","PA13","I/O","","","SYS_JTMS-SWDIO","","","","","","","","","","","","",""
"47","VSS","Power","","","","","","","","","","","","","","","",""
"48","VDD","Power","","","","","","","","","","","","","","","",""
"49","PA14","I/O","","","SYS_JTCK-SWCLK","","","","","","","","","","","","",""
"50","PA15","I/O","","","SYS_JTDI","TIM2_CH1/TIM2_ETR","","","CEC","I2S1_WS/SPI1_NSS","I2S3_WS/SPI3_NSS","","UART4_RTS","","","","",""
"51","PC10","I/O","","","","","","","","","I2S3_CK/SPI3_SCK","USART3_TX","UART4_TX","QUADSPI_BK1_IO1","","","SDIO_D2","DCMI_D8"
"52","PC11","I/O","","","","","","","","","SPI3_MISO","USART3_RX","UART4_RX","QUADSPI_BK2_NCS","","","SDIO_D3","DCMI_D4"
"53","PC12","I/O","","","","","","","I2C2_SDA","","I2S3_SD/SPI3_MOSI","USART3_CK","UART5_TX","","","","SDIO_CK","DCMI_D9"
"54","PD2","I/O","","","","","TIM3_ETR","","","","","","UART5_RX","","","","SDIO_CMD","DCMI_D11"
"55","PB3","I/O","","","SYS_JTDO-SWO","TIM2_CH2","","","I2C2_SDA","I2S1_CK/SPI1_SCK","I2S3_CK/SPI3_SCK","","","","","","",""
"56","PB4","I/O","","","SYS_JTRST","","TIM3_CH1","","I2C3_SDA","SPI1_MISO","SPI3_MISO","I2S2_WS/SPI2_NSS","","","","","",""
"57","PB5","I/O","","","","","TIM3_CH2","","I2C1_SMBA","I2S1_SD/SPI1_MOSI","I2S3_SD/SPI3_MOSI","","","CAN2_RX","USB_OTG_HS_ULPI_D7","","","DCMI_D10"
"58","PB6","I/O","","","","","TIM4_CH1","CEC","I2C1_SCL","","","USART1_TX","","CAN2_TX","QUADSPI_BK1_NCS","","","DCMI_D5"
"59","PB7","I/O","","","","","TIM4_CH2","","I2C1_SDA","","","USART1_RX","SPDIFRX_IN0","","","","","DCMI_VSYNC"
"60","BOOT0","Boot","","","","","","","","","","","","","","","",""
"61","PB8","I/O","","","","TIM2_CH1/TIM2_ETR","TIM4_CH3","TIM10_CH1","I2C1_SCL","","","","","CAN1_RX","","","SDIO_D4","DCMI_D6"
"62","PB9","I/O","","","","TIM2_CH2","TIM4_CH4","TIM11_CH1","I2C1_SDA","I2S2_WS/SPI2_NSS","SAI1_FS_B","","","CAN1_TX","","","SDIO_D5","DCMI_D7"
"63","VSS","Power","","","","","","","","","","","","","","","",""
