"Position","Name","Type","Signal","Label","TIM2_REMAP2","TIM2_REMAP1","TIM3_REMAP1","TIM2_REMAP3","USART3_REMAP1","TIM3_REMAP2","SPI1_REMAP1","USART1_REMAP1","I2C1_REMAP1"
"1","VBAT","Power","","","","","","","","","","",""
"2","PC13-TAMPER-RTC","I/O","","","","","","","","","","",""
"3","PC14-OSC32_IN","I/O","","","","","","","","","","",""
"4","PC15-OSC32_OUT","I/O","","","","","","","","","","",""
"5","PD0-OSC_IN","I/O","","","","","","","","","","",""
"6","PD1-OSC_OUT","I/O","","","","","","","","","","",""
"7","NRST","Reset","","","","","","","","","","",""
"8","PC0","I/O","","","","","","","","","","",""
"9","PC1","I/O","","","","","","","","","","",""
"10","PC2","I/O","","","","","","","","","","",""
"11","PC3","I/O","","","","","","","","","","",""
"12","VSSA","Power","","","","","","","","","","",""
"13","VDDA","Power","","","","","","","","","","",""
"14","PA0-WKUP","I/O","","","TIM2_CH1/TIM2_ETR","","","","","","","",""
"15","PA1","I/O","","","TIM2_CH2","","","","","","","",""
"16","PA2","I/O","","","","TIM2_CH3","","","","","","",""
"17","PA3","I/O","","","","TIM2_CH4","","","","","","",""
"18","VSS","Power","","","","","","","","","","",""
"19","VDD","Power","","","","","","","","","","",""
"20","PA4","I/O","","","","","","","","","","",""
"21","PA5","I/O","","","","","","","","","","",""
"22","PA6","I/O","","","","","","","","","","",""
"23","PA7","I/O","","","","","","","","","","",""
"24","PC4","I/O","","","","","","","","","","",""
"25","PC5","I/O","","","","","","","","","","",""
"26","PB0","I/O","","","","","TIM3_CH3","","","","","",""
"27","PB1","I/O","","","","","TIM3_CH4","","","","","",""
"28","PB2","I/O","","","","","","","","","","",""
"29","PB10","I/O","","","TIM2_CH3","","","TIM2_CH3","","","","",""
"30","PB11","I/O","","","TIM2_CH4","","","TIM2_CH4","","","","",""
"31","VSS","Power","","","","","","","","","","",""
"32","VDD","Power","","","","","","","","","","",""
"33","PB12","I/O","","","","","","","","","","",""
"34","PB13","I/O","","","","","","","USART3_CTS","","","",""
"35","PB14","I/O","","","","","","","USART3_RTS","","","",""
"36","PB15","I/O","","","","","","","","","","",""
"37","PC6","I/O","","","","","","","","TIM3_CH1","","",""
"38","PC7","I/O","","","","","","","","TIM3_CH2","","",""
"39","PC8","I/O","","","","","","","","TIM3_CH3","","",""
"40","PC9","I/O","","","","","","","","TIM3_CH4","","",""
"41","PA8","I/O","","","","","","","","","","",""
"42","PA9","I/O","","","","","","","","","","",""
"43","PA10","I/O","","","","","","","","","","",""
"44","PA11","I/O","","","","","","","","","","",""
"45","PA12","I/O","","","","","","","","","","",""
"46","PA13","I/O","","","","","","","","","","",""
"47","VSS","Power","","","","","","","","","","",""
"48","VDD","Power","","","","","","","","","","",""
"49","PA14","I/O","","","","","","","","","","",""
"50","PA15","I/O","","","","TIM2_CH1/TIM2_ETR","","TIM2_CH1/TIM2_ETR","","","SPI1_NSS","",""
"51","PC10","I/O","","","","","","","USART3_TX","","","",""
"52","PC11","I/O","","","","","","","USART3_RX","","","",""
"53","PC12","I/O","","","","","","","USART3_CK","","","",""
"54","PD2","I/O","","","","","","","","","","",""
"55","PB3","I/O","","","","TIM2_CH2","","TIM2_CH2","","","SPI1_SCK","",""
"56","PB4","I/O","","","","","TIM3_CH1","","","","SPI1_MISO","",""
"57","PB5","I/O","","","","","TIM3_CH2","","","","SPI1_MOSI","",""
"58","PB6","I/O","","","","","","","","","","USART1_TX",""
"59","PB7","I/O","","","","","","","","","","USART1_RX",""
"60","BOOT0","Boot","","","","","","","","","","",""
"61","PB8","I/O","","","","","","","","","","","I2C1_SCL"
"62","PB9","I/O","","","","","","","","","","","I2C1_SDA"
"63","VSS","Power","","","","","","","","","","",""
"64","VDD","Power","","","","","","","","","","",""
