"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7"
"A1","PE3","I/O","","","TIM22_CH1","LCD_SEG39","TIM3_CH1","","","","",""
"A2","PE1","I/O","","","","LCD_SEG37","EVENTOUT","","","","",""
"A3","PB8","I/O","","","","LCD_SEG16","","TSC_SYNC","I2C1_SCL","","",""
"A4","BOOT0","Boot","","","","","","","","","",""
"A5","PD7","I/O","","","USART2_CK","TIM21_CH2","","","","","",""
"A6","PD5","I/O","","","USART2_TX","","","","","","",""
"A7","PB4","I/O","","","SPI1_MISO","LCD_SEG8","TIM3_CH1","TSC_G5_IO2","TIM22_CH1","USART1_CTS","USART5_RX","I2C3_SDA"
"A8","PB3","I/O","","","SPI1_SCK","LCD_SEG7","TIM2_CH2","TSC_G5_IO1","EVENTOUT","USART1_DE/USART1_RTS","USART5_TX",""
"A9","PA15","I/O","","","SPI1_NSS","LCD_SEG17","TIM2_ETR","EVENTOUT","USART2_RX","TIM2_CH1","USART4_DE/USART4_RTS",""
"A10","PA14","I/O","","","SYS_SWCLK","","","","USART2_TX","","LPUART1_TX",""
"A11","PA13","I/O","","","SYS_SWDIO","","USB_NOE","","","","LPUART1_RX",""
"A12","PA12","I/O","","","SPI1_MOSI","","EVENTOUT","TSC_G4_IO4","USART1_DE/USART1_RTS","","","COMP2_OUT"
"B1","PE4","I/O","","","TIM22_CH2","","TIM3_CH2","","","","",""
"B2","PE2","I/O","","","","LCD_SEG38","TIM3_ETR","","","","",""
"B3","PB9","I/O","","","","LCD_COM3","EVENTOUT","","I2C1_SDA","I2S2_WS/SPI2_NSS","",""
"B4","PB7","I/O","","","USART1_RX","I2C1_SDA","LPTIM1_IN2","TSC_G5_IO4","","","USART4_CTS",""
"B5","PB6","I/O","","","USART1_TX","I2C1_SCL","LPTIM1_ETR","TSC_G5_IO3","","","",""
"B6","PD6","I/O","","","USART2_RX","","","","","","",""
"B7","PD4","I/O","","","USART2_DE/USART2_RTS","I2S2_SD/SPI2_MOSI","","","","","",""
"B8","PD3","I/O","","","USART2_CTS","LCD_SEG44","I2S2_MCK/SPI2_MISO","","","","",""
"B9","PD1","I/O","","","","I2S2_CK/SPI2_SCK","","","","","",""
"B10","PC12","I/O","","","","LCD_COM6/LCD_SEG30/LCD_SEG50","USART5_TX","","","","USART4_CK",""
"B11","PC10","I/O","","","LPUART1_TX","LCD_COM4/LCD_SEG28/LCD_SEG48","","","","","USART4_TX",""
"B12","PA11","I/O","","","SPI1_MISO","","EVENTOUT","TSC_G4_IO3","USART1_CTS","","","COMP1_OUT"
"C1","PC13","I/O","","","","","","","","","",""
"C2","PE5","I/O","","","TIM21_CH1","","TIM3_CH3","","","","",""
"C3","PE0","I/O","","","","LCD_SEG36","EVENTOUT","","","","",""
"C4","VDD","Power","","","","","","","","","",""
"C5","PB5","I/O","","","SPI1_MOSI","LCD_SEG9","LPTIM1_IN1","I2C1_SMBA","TIM22_CH2/TIM3_CH2","USART1_CK","USART5_CK/USART5_DE/USART5_RTS",""
"C8","PD2","I/O","","","LPUART1_DE/LPUART1_RTS","LCD_COM7/LCD_SEG31/LCD_SEG51","TIM3_ETR","","","","USART5_RX",""
"C9","PD0","I/O","","","TIM21_CH1","I2S2_WS/SPI2_NSS","","","","","",""
"C10","PC11","I/O","","","LPUART1_RX","LCD_COM5/LCD_SEG29/LCD_SEG49","","","","","USART4_RX",""
"C11","VDD","Power","","","","","","","","","",""
"C12","PA10","I/O","","","","LCD_COM2","","TSC_G4_IO2","USART1_RX","","I2C1_SDA",""
"D1","PC14-OSC32_IN","I/O","","","","","","","","","",""
"D2","PE6","I/O","","","TIM21_CH2","","TIM3_CH4","","","","",""
"D3","VSS","Power","","","","","","","","","",""
"D10","PA9","I/O","","","RCC_MCO","LCD_COM1","","TSC_G4_IO1","USART1_TX","","I2C1_SCL","I2C3_SMBA"
"D11","PA8","I/O","","","RCC_MCO","LCD_COM0","CRS_SYNC","EVENTOUT","USART1_CK","","","I2C3_SCL"
"D12","PC9","I/O","","","TIM21_ETR","LCD_SEG27","TIM3_CH4/USB_NOE","TSC_G8_IO4","","","","I2C3_SDA"
"E1","PC15-OSC32_OUT","I/O","","","","","","","","","",""
"E2","VDD","Power","","","","","","","","","",""
"E3","VSS","Power","","","","","","","","","",""
"E10","PC8","I/O","","","TIM22_ETR","LCD_SEG26","TIM3_CH3","TSC_G8_IO3","","","",""
"E11","PC7","I/O","","","TIM22_CH2","LCD_SEG25","TIM3_CH2","TSC_G8_IO2","","","",""
"E12","PC6","I/O","","","TIM22_CH1","LCD_SEG24","TIM3_CH1","TSC_G8_IO1","","","",""
"F1","PH0-OSC_IN","I/O","","","CRS_SYNC","","","","","","",""
"F2","PH9","I/O","","","","","","","","","",""
"F11","VSS","Power","","","","","","","","","",""
"F12","VSS","Power","","","","","","","","","",""
"G1","PH1-OSC_OUT","I/O","","","","","","","","","",""
"G2","PH10","I/O","","","","","","","","","",""
"G11","VDD_USB","Power","","","","","","","","","",""
"G12","VDD","Power","","","","","","","","","",""
"H1","PC0","I/O","","","LPTIM1_IN1","LCD_SEG18","EVENTOUT","TSC_G7_IO1","","","LPUART1_RX","I2C3_SCL"
"H2","NRST","Reset","","","","","","","","","",""
"H3","VDD","Power","","","","","","","","","",""
"H10","PD15","I/O","","","CRS_SYNC","LCD_SEG35","","","","","",""
"H11","PD14","I/O","","","","LCD_SEG34","","","","","",""
"H12","PD13","I/O","","","","LCD_SEG33","","","","","",""
"J1","VSSA","Power","","","","","","","","","",""
"J2","PC1","I/O","","","LPTIM1_OUT","LCD_SEG19","EVENTOUT","TSC_G7_IO2","","","LPUART1_TX","I2C3_SDA"
"J3","PC2","I/O","","","LPTIM1_IN2","LCD_SEG20","I2S2_MCK/SPI2_MISO","TSC_G7_IO3","","","",""
"J10","PD12","I/O","","","LPUART1_DE/LPUART1_RTS","LCD_SEG32","","","","","",""
"J11","PD11","I/O","","","LPUART1_CTS","LCD_SEG31","","","","","",""
"J12","PD10","I/O","","","","LCD_SEG30","","","","","",""
"K1","VREF-","Power","","","","","","","","","",""
"K2","PC3","I/O","","","LPTIM1_ETR","LCD_SEG21","I2S2_SD/SPI2_MOSI","TSC_G7_IO4","","","",""
"K3","PA2","I/O","","","TIM21_CH1","LCD_SEG1","TIM2_CH3","TSC_G1_IO3","USART2_TX","","LPUART1_TX","COMP2_OUT"
"K4","PA5","I/O","","","SPI1_SCK","","TIM2_ETR","TSC_G2_IO2","","TIM2_CH1","",""
"K5","PC4","I/O","","","EVENTOUT","LCD_SEG22","LPUART1_TX","","","","",""
"K8","PD9","I/O","","","LPUART1_RX","LCD_SEG29","","","","","",""
"K9","PD8","I/O","","","LPUART1_TX","LCD_SEG28","","","","","",""
"K10","PB15","I/O","","","I2S2_SD/SPI2_MOSI","LCD_SEG15","RTC_REFIN","","","","",""
"K11","PB14","I/O","","","I2S2_MCK/SPI2_MISO","LCD_SEG14","RTC_OUT_ALARM/RTC_OUT_CALIB","TSC_G6_IO4","LPUART1_DE/LPUART1_RTS","I2C2_SDA","TIM21_CH2",""
"K12","PB13","I/O","","","I2S2_CK/SPI2_SCK","LCD_SEG13","RCC_MCO","TSC_G6_IO3","LPUART1_CTS","I2C2_SCL","TIM21_CH1",""
"L1","VREF+","Power","","","","","","","","","",""
"L2","PA0","I/O","","","","","TIM2_CH1","TSC_G1_IO1","USART2_CTS","TIM2_ETR","USART4_TX","COMP1_OUT"
"L3","PA3","I/O","","","TIM21_CH2","LCD_SEG2","TIM2_CH4","TSC_G1_IO4","USART2_RX","","LPUART1_RX",""
"L4","PA6","I/O","","","SPI1_MISO","LCD_SEG3","TIM3_CH1","TSC_G2_IO3","LPUART1_CTS","TIM22_CH1","EVENTOUT","COMP1_OUT"
"L5","PC5","I/O","","","","LCD_SEG23","LPUART1_RX","TSC_G3_IO1","","","",""
"L6","PB2","I/O","","","","","LPTIM1_OUT","TSC_G3_IO4","","","","I2C3_SMBA"
"L7","PE8","I/O","","","","LCD_SEG46","","","","","USART4_TX",""
"L8","PE10","I/O","","","TIM2_CH2","LCD_SEG40","","","","","USART5_TX",""
"L9","PE12","I/O","","","TIM2_CH4","","SPI1_NSS","","","","",""
"L10","PB10","I/O","","","","LCD_SEG10","TIM2_CH3","TSC_SYNC","LPUART1_TX","SPI2_SCK","I2C2_SCL","LPUART1_RX"
"L11","PB11","I/O","","","EVENTOUT","LCD_SEG11","TIM2_CH4","TSC_G6_IO1","LPUART1_RX","","I2C2_SDA","LPUART1_TX"
"L12","PB12","I/O","","","I2S2_WS/SPI2_NSS","LCD_SEG12","LPUART1_DE/LPUART1_RTS","TSC_G6_IO2","","","EVENTOUT",""
"M1","VDDA","Power","","","","","","","","","",""
"M2","PA1","I/O","","","EVENTOUT","LCD_SEG0","TIM2_CH2","TSC_G1_IO2","USART2_DE/USART2_RTS","TIM21_ETR","USART4_RX",""
"M3","PA4","I/O","","","SPI1_NSS","","","TSC_G2_IO1","USART2_CK","TIM22_ETR","",""
"M4","PA7","I/O","","","SPI1_MOSI","LCD_SEG4","TIM3_CH2","TSC_G2_IO4","","TIM22_CH2","EVENTOUT","COMP2_OUT"
"M5","PB0","I/O","","","EVENTOUT","LCD_SEG5","TIM3_CH3","TSC_G3_IO2","","","",""
"M6","PB1","I/O","","","","LCD_SEG6","TIM3_CH4","TSC_G3_IO3","LPUART1_DE/LPUART1_RTS","","",""
"M7","PE7","I/O","","","","LCD_SEG45","","","","","USART5_CK/USART5_DE/USART5_RTS",""
"M8","PE9","I/O","","","TIM2_CH1","LCD_SEG47","TIM2_ETR","","","","USART4_RX",""
"M9","PE11","I/O","","","TIM2_CH3","","","","","","USART5_RX",""
"M10","PE13","I/O","","","","LCD_SEG41","SPI1_SCK","","","","",""
"M11","PE14","I/O","","","","LCD_SEG42","SPI1_MISO","","","","",""
"M12","PE15","I/O","","","","LCD_SEG43","SPI1_MOSI","","","","",""
