"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14"
"1","PE2","I/O","","","DEBUG_TRACECLK","","SAI1_CK1","","","SPI4_SCK","SAI1_MCLK_A","","SAI4_MCLK_A","QUADSPI_BK1_IO2","SAI4_CK1","ETH_TXD3","FMC_A23","",""
"2","PE3","I/O","","","DEBUG_TRACED0","","","","TIM15_BKIN","","SAI1_SD_B","","SAI4_SD_B","","","","FMC_A19","",""
"3","PE4","I/O","","","DEBUG_TRACED1","","SAI1_D2","DFSDM1_DATIN3","TIM15_CH1N","SPI4_NSS","SAI1_FS_A","","SAI4_FS_A","","SAI4_D2","","FMC_A20","DCMI_D4","LTDC_B0"
"4","PE5","I/O","","","DEBUG_TRACED2","","SAI1_CK2","DFSDM1_CKIN3","TIM15_CH1","SPI4_MISO","SAI1_SCK_A","","SAI4_SCK_A","","SAI4_CK2","","FMC_A21","DCMI_D6","LTDC_G0"
"5","PE6","I/O","","","DEBUG_TRACED3","TIM1_BKIN2","SAI1_D1","","TIM15_CH2","SPI4_MOSI","SAI1_SD_A","","SAI4_SD_A","SAI4_D1","SAI2_MCLK_B","TIM1_BKIN2_COMP1/TIM1_BKIN2_COMP2","FMC_A22","DCMI_D7","LTDC_G1"
"6","VSS","Power","","","","","","","","","","","","","","","","",""
"7","VDD","Power","","","","","","","","","","","","","","","","",""
"8","VBAT","Power","","","","","","","","","","","","","","","","",""
"9","PC13","I/O","","","","","","","","","","","","","","","","",""
"10","PC14-OSC32_IN (OSC32_IN)","I/O","","","","","","","","","","","","","","","","",""
"11","PC15-OSC32_OUT (OSC32_OUT)","I/O","","","","","","","","","","","","","","","","",""
"12","VSS","Power","","","","","","","","","","","","","","","","",""
"13","VDD","Power","","","","","","","","","","","","","","","","",""
"14","VSSSMPS","Power","","","","","","","","","","","","","","","","",""
"15","VLXSMPS","Power","","","","","","","","","","","","","","","","",""
"16","VDDSMPS","Power","","","","","","","","","","","","","","","","",""
"17","VFBSMPS","Power","","","","","","","","","","","","","","","","",""
"18","PF0","I/O","","","","","","","I2C2_SDA","","","","","","","","FMC_A0","",""
"19","PF1","I/O","","","","","","","I2C2_SCL","","","","","","","","FMC_A1","",""
