"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13"
"1","PE2","I/O","","","SYS_TRACECLK","","","","","SPI4_SCK","SAI1_MCLK_A","","","","","ETH_TXD3","FMC_A23",""
"2","PE3","I/O","","","SYS_TRACED0","","","","","","SAI1_SD_B","","","","","","FMC_A19",""
"3","PE4","I/O","","","SYS_TRACED1","","","","","SPI4_NSS","SAI1_FS_A","","","","","","FMC_A20","DCMI_D4"
"4","PE5","I/O","","","SYS_TRACED2","","","TIM9_CH1","","SPI4_MISO","SAI1_SCK_A","","","","","","FMC_A21","DCMI_D6"
"5","PE6","I/O","","","SYS_TRACED3","","","TIM9_CH2","","SPI4_MOSI","SAI1_SD_A","","","","","","FMC_A22","DCMI_D7"
"6","VBAT","Power","","","","","","","","","","","","","","","",""
"7","PC13","I/O","","","","","","","","","","","","","","","",""
"8","PC14/OSC32_IN","I/O","","","","","","","","","","","","","","","",""
"9","PC15/OSC32_OUT","I/O","","","","","","","","","","","","","","","",""
"10","PF0","I/O","","","","","","","I2C2_SDA","","","","","","","","FMC_A0",""
"11","PF1","I/O","","","","","","","I2C2_SCL","","","","","","","","FMC_A1",""
"12","PF2","I/O","","","","","","","I2C2_SMBA","","","","","","","","FMC_A2",""
"13","PF3","I/O","","","","","","","","","","","","","","","FMC_A3",""
"14","PF4","I/O","","","","","","","","","","","","","","","FMC_A4",""
"15","PF5","I/O","","","","","","","","","","","","","","","FMC_A5",""
"16","VSS","Power","","","","","","","","","","","","","","","",""
"17","VDD","Power","","","","","","","","","","","","","","","",""
"18","PF6","I/O","","","","","","TIM10_CH1","","SPI5_NSS","SAI1_SD_B","","UART7_RX","","","","FMC_NIORD",""
"19","PF7","I/O","","","","","","TIM11_CH1","","SPI5_SCK","SAI1_MCLK_B","","UART7_TX","","","","FMC_NREG",""
"20","PF8","I/O","","","","","","","","SPI5_MISO","SAI1_SCK_B","","","TIM13_CH1","","","FMC_NIOWR",""
"21","PF9","I/O","","","","","","","","SPI5_MOSI","SAI1_FS_B","","","TIM14_CH1","","","FMC_CD",""
"22","PF10","I/O","","","","","","","","","","","","","","","FMC_INTR","DCMI_D11"
"23","PH0/OSC_IN","I/O","","","","","","","","","","","","","","","",""
"24","PH1/OSC_OUT","I/O","","","","","","","","","","","","","","","",""
"25","NRST","Reset","","","","","","","","","","","","","","","",""
"26","PC0","I/O","","","","","","","","","","","","","USB_OTG_HS_ULPI_STP","","FMC_SDNWE",""
"27","PC1","I/O","","","","","","","","","","","","","","ETH_MDC","",""
"28","PC2","I/O","","","","","","","","SPI2_MISO","I2S2_ext_SD","","","","USB_OTG_HS_ULPI_DIR","ETH_TXD2","FMC_SDNE0",""
"29","PC3","I/O","","","","","","","","I2S2_SD/SPI2_MOSI","","","","","USB_OTG_HS_ULPI_NXT","ETH_TX_CLK","FMC_SDCKE0",""
"30","VDD","Power","","","","","","","","","","","","","","","",""
"31","VSSA","Power","","","","","","","","","","","","","","","",""
"32","VREF+","Power","","","","","","","","","","","","","","","",""
"33","VDDA","Power","","","","","","","","","","","","","","","",""
"34","PA0/WKUP","I/O","","","","TIM2_CH1/TIM2_ETR","TIM5_CH1","TIM8_ETR","","","","USART2_CTS","UART4_TX","","","ETH_CRS","",""
