"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"1","PE2","I/O","","","SYS_TRACECLK","","","","","I2S4_CK/SPI4_SCK","I2S5_CK/SPI5_SCK","","","QUADSPI_BK1_IO2","","","FSMC_A23","","","EVENTOUT"
"2","PE3","I/O","","","SYS_TRACED0","","","","","","","","","","","","FSMC_A19","","","EVENTOUT"
"3","PE4","I/O","","","SYS_TRACED1","","","","","I2S4_WS/SPI4_NSS","I2S5_WS/SPI5_NSS","","DFSDM1_DATIN3","","","","FSMC_A20","","","EVENTOUT"
"4","PE5","I/O","","","SYS_TRACED2","","","TIM9_CH1","","SPI4_MISO","SPI5_MISO","","DFSDM1_CKIN3","","","","FSMC_A21","","","EVENTOUT"
"5","PE6","I/O","","","SYS_TRACED3","","","TIM9_CH2","","I2S4_SD/SPI4_MOSI","I2S5_SD/SPI5_MOSI","","","","","","FSMC_A22","","","EVENTOUT"
"6","VBAT","Power","","","","","","","","","","","","","","","","","",""
"7","PC13","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"8","PC14-OSC32_IN","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"9","PC15-OSC32_OUT","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"10","VSS","Power","","","","","","","","","","","","","","","","","",""
"11","VDD","Power","","","","","","","","","","","","","","","","","",""
"12","PH0 - OSC_IN","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"13","PH1 - OSC_OUT","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"14","NRST","Reset","","","","","","","","","","","","","","","","","",""
"15","PC0","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"16","PC1","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"17","PC2","I/O","","","","","","","","SPI2_MISO","I2S2_ext_SD","","DFSDM1_CKOUT","","","","FSMC_NWE","","","EVENTOUT"
"18","PC3","I/O","","","","","","","","I2S2_SD/SPI2_MOSI","","","","","","","FSMC_A0","","","EVENTOUT"
"19","VDD","Power","","","","","","","","","","","","","","","","","",""
