"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"A1","VDD","Power","","","","","","","","","","","","","","","","","",""
"A2","PB9","I/O","","","","TIM17_CH1","TIM4_CH4","SAI1_D2","I2C1_SDA","","IR_OUT","USART3_TX","COMP2_OUT","FDCAN1_TX","TIM8_CH3","","TIM1_CH3N","","SAI1_FS_A","EVENTOUT"
"A3","PB7","I/O","","","","TIM17_CH1N","TIM4_CH2","","I2C1_SDA","TIM8_BKIN","","USART1_RX","COMP3_OUT","","TIM3_CH4","LPTIM1_IN2","","","UART4_CTS","EVENTOUT"
"A4","PB6","I/O","","","","TIM16_CH1N","TIM4_CH1","","","TIM8_CH1","TIM8_ETR","USART1_TX","COMP4_OUT","","TIM8_BKIN2","LPTIM1_ETR","","","SAI1_FS_B","EVENTOUT"
"A5","PB3","I/O","","","SYS_JTDO-SWO","TIM2_CH2","TIM4_ETR","CRS_SYNC","TIM8_CH1N","SPI1_SCK","I2S3_CK/SPI3_SCK","USART2_TX","","","TIM3_ETR","","","","SAI1_SCK_B","EVENTOUT"
"A6","PC12","I/O","","","","","","","TIM8_CH3N","","I2S3_SD/SPI3_MOSI","USART3_CK","","","","","","","UCPD1_FRSTX1/UCPD1_FRSTX2","EVENTOUT"
"A7","PA15","I/O","","","SYS_JTDI","TIM2_CH1","TIM8_CH1","","I2C1_SCL","SPI1_NSS","I2S3_WS/SPI3_NSS","USART2_RX","UART4_DE/UART4_RTS","TIM1_BKIN","","","","","TIM2_ETR","EVENTOUT"
"A8","VDD","Power","","","","","","","","","","","","","","","","","",""
"B1","PC13","I/O","","","","","TIM1_BKIN","","TIM1_CH1N","","TIM8_CH4N","","","","","","","","","EVENTOUT"
"B2","VSS","Power","","","","","","","","","","","","","","","","","",""
"B3","PB8-BOOT0","I/O","","","","TIM16_CH1","TIM4_CH3","SAI1_CK1","I2C1_SCL","","","USART3_RX","COMP1_OUT","FDCAN1_RX","TIM8_CH2","","TIM1_BKIN","","SAI1_MCLK_A","EVENTOUT"
"B4","PB5","I/O","","","","TIM16_BKIN","TIM3_CH2","TIM8_CH3N","I2C1_SMBA","SPI1_MOSI","I2S3_SD/SPI3_MOSI","USART2_CK","I2C3_SDA","","TIM17_CH1","LPTIM1_IN1","SAI1_SD_B","","","EVENTOUT"
"B5","PD2","I/O","","","","","TIM3_ETR","","TIM8_BKIN","","","","","","","","","","","EVENTOUT"
"B6","PC11","I/O","","","","","","","TIM8_CH2N","UART4_RX","SPI3_MISO","USART3_RX","I2C3_SDA","","","","","","","EVENTOUT"
"B7","VSS","Power","","","","","","","","","","","","","","","","","",""
"B8","PA12","I/O","","","","TIM16_CH1","","","","I2S_CKIN","TIM1_CH2N","USART1_DE/USART1_RTS","COMP2_OUT","FDCAN1_TX","TIM4_CH2","TIM1_ETR","","","","EVENTOUT"
"C1","PC14-OSC32_IN","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"C2","VBAT","Power","","","","","","","","","","","","","","","","","",""
"C3","PC1","I/O","","","","LPTIM1_OUT","TIM1_CH2","","","","","","LPUART1_TX","","","","","SAI1_SD_A","","EVENTOUT"
"C4","PB4","I/O","","","SYS_JTRST","TIM16_CH1","TIM3_CH1","","TIM8_CH2N","SPI1_MISO","SPI3_MISO","USART2_RX","","","TIM17_BKIN","","","","SAI1_MCLK_B","EVENTOUT"
"C5","PC10","I/O","","","","","","","TIM8_CH1N","UART4_TX","I2S3_CK/SPI3_SCK","USART3_TX","","","","","","","","EVENTOUT"
"C6","PA14","I/O","","","SYS_JTCK-SWCLK","LPTIM1_OUT","","","I2C1_SDA","TIM8_CH2","TIM1_BKIN","USART2_TX","","","","","","SAI1_FS_B","","EVENTOUT"
"C7","PA13","I/O","","","SYS_JTMS-SWDIO","TIM16_CH1N","","","I2C1_SCL","IR_OUT","","USART3_CTS/USART3_NSS","","","TIM4_CH3","","","SAI1_SD_B","","EVENTOUT"
"C8","PA11","I/O","","","","","","","","I2S2_SD/SPI2_MOSI","TIM1_CH1N","USART1_CTS/USART1_NSS","COMP1_OUT","FDCAN1_RX","TIM4_CH1","TIM1_CH4","TIM1_BKIN2","","","EVENTOUT"
"D1","PC15-OSC32_OUT","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"D2","PG10-NRST","I/O","","","RCC_MCO","","","","","","","","","","","","","","","EVENTOUT"
"D3","PC2","I/O","","","","LPTIM1_IN2","TIM1_CH3","COMP3_OUT","","","","","","","","","","","","EVENTOUT"
"D4","PA4","I/O","","","","","TIM3_CH2","","","SPI1_NSS","I2S3_WS/SPI3_NSS","USART2_CK","","","","","","SAI1_FS_B","","EVENTOUT"
"D5","PC4","I/O","","","","","TIM1_ETR","","I2C2_SCL","","","USART1_TX","","","","","","","","EVENTOUT"
